1 0 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 0 1 |sum = 11 
1 1 1 1 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 |sum = 11 
0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 0 1 1 1 |sum = 9 
1 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 1 0 0 0 |sum = 9 
1 1 1 0 0 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0 |sum = 11 
1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 |sum = 15 
0 0 1 0 0 0 1 1 1 1 1 0 1 0 0 0 0 1 1 0 |sum = 9 
1 1 0 0 0 1 1 0 1 1 1 0 1 0 0 1 1 0 0 0 |sum = 10 
1 1 0 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 0 |sum = 13 
0 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 0 0 0 0 |sum = 11 
0 1 0 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 |sum = 14 
1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 |sum = 6 
1 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 1 0 |sum = 12 
0 1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 |sum = 13 
0 1 1 1 0 1 0 1 1 1 0 1 1 1 0 1 1 0 0 1 |sum = 13 
1 0 1 0 0 1 0 1 0 1 1 0 0 0 1 1 0 1 0 0 |sum = 9 
0 0 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1 |sum = 9 
1 1 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 1 |sum = 9 
1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 |sum = 7 
0 0 1 0 1 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 |sum = 10 
